title,description,authors,publisher,published_date,categories,ratings_count,review_score,review_time,review_summary,review_text,total_review,helpful_review
Confessions of a Sociopathic Social Climber: The Katya Livingston Chronicles,"After weasel-eyed tax inspectors question her work-related claims, Katya Livingston is forced to keep a financial diary. As well as documenting the cruel and parsimonious ways of her ad agency boss, Katya waxes lyrical about putting up with loser friends, mortal enemies, and thoroughly bad restaurants. She also throws in a completely candid account of her love life, just in case some of it is tax deductible. What begins as a private account of expenses rapidly becomes, through Katya's chronic delusions of grandeur, a matter of public record: first as a tawdry gossip column, then as a salacious book, and finally as a Hollywood B-movie. Bitingly written with wit and style reminiscent of Candace Bushnell, Adèle Lang's Confessions of a Sociopathic Social Climber is a cutting, bitchy, hilarious take on the young-single-British-woman genre.",['Adele Lang'],Macmillan,2014,['Fiction'],11.0,2.0,2006-02-11,"Some crass fun, but a seriously flawed humorous novel","If you want to thrill vicariously to the wicked thoughts of a caricature shallow English career woman, this book has some good chuckles. Men are humiliated, women rivals are defeated, friends and family are exploited and cast aside, cute little animals are thoughtlessly murdered, and all business contacts are left to wallow in failure.The trouble is the thing has no plot, none of the characters are remotely sympathetic or believable, and it's just too darned long. As a result, it's funny enough for the first few chapters, but there's a point where you realize it's just going to meander and repeat similar gags forever. Even if you like this sort of crass humor, you look to see how much longer you have to go and wonder if you should bother to finish it. Would have been great as a short story or novelette.",0,1
A Prayer for Owen Meany (Franklin Library Signed First Edition),"'A work of genius' Independent 'Marvellously funny . . . What better entertainment is there than a serious book which makes you laugh?' Spectator 'If you care about something you have to protect it. If you're lucky enough to find a way of life you love, you have to find the courage to live it.' Summer, 1953. In the small town of Gravesend, New Hampshire, eleven-year-old John Wheelwright and his best friend Owen Meany are playing in a Little League baseball game. When Owen hits a foul ball which kills John's mother, their lives are changed in an instant. It is dismissed as a tragic accident but Owen disagrees. He believes that he is God's instrument, put on Earth for a higher purpose. And as the boys come into adulthood to the background of the Vietnam War, a series of remarkable events show that perhaps Owen's divine plan was not imagined after all. Discover the funny yet poignant classic by the bestselling author of The World According to Garp. 'So extraordinary, so original, and so enriching' Stephen King, The Washington Post 'May justly join the classic American list' Anthony Burgess, Observer",['John Irving'],Random House,2012,['Fiction'],164.0,5.0,1999-04-23,I played thur all emotions while reading this book.,"I've read this book 4 times and always come out with something new I missed from before. Mr.Iriving catches the feeling of childhood and makes you remeber what it was like. We have a little Owen in us all, thank God. Tricia Doran",0,0
My Friend Leonard,"Perhaps the most unconventional and literally breathtaking father-son story you'll ever read, My Friend Leonard pulls you immediately and deeply into a relationship as unusual as it is inspiring. The father figure is Leonard, the high-living, recovering coke addict ""West Coast Director of a large Italian-American finance firm"" (read: mobster) who helped to keep James Frey clean in A Million Little Pieces. The son is, of course, James, damaged perhaps beyond repair by years of crack and alcohol addiction-and by more than a few cruel tricks of fate. James embarks on his post-rehab existence in Chicago emotionally devastated, broke, and afraid to get close to other people. But then Leonard comes back into his life, and everything changes. Leonard offers his ""son"" lucrative—if illegal and slightly dangerous—employment. He teaches James to enjoy life, sober, for the first time. He instructs him in the art of ""living boldly,"" pushes him to pursue his passion for writing, and provides a watchful and supportive veil of protection under which James can get his life together. Both Leonard's and James's careers flourish…but then Leonard vanishes. When the reasons behind his mysterious absence are revealed, the book opens up in unexpected emotional ways. My Friend Leonard showcases a brilliant and energetic young writer rising to important new challenges—displaying surprising warmth, humor, and maturity—without losing his intensity. This book proves that one of the most provocative literary voices of his generation is also one of the most emphatically human.",['James Frey'],Penguin,2005,['Biography & Autobiography'],35.0,5.0,2005-07-01,Another fantastic effort!,"Well done, James Frey! I didn't think anything James wrote could live up to A Million Little Pieces. But My Friend Leonard did just that. I read most of the book on my way to and from work on the bus, and kept having to put the book down to wipe tears from my eyes (and to shield myself from other commuters seeing me crying!!)But you MUST read A Million Little Pieces before you read this. James answers all the questions in My Friend Leonard that were racing round my head after I read Pieces.I have never cried over complete strangers like I did when reading these two books.My favourite author by a long way....i can't praise him enough!!!",3,6
The Darwin Awards: Evolution in Action,"The hilarious New York Times bestselling phenomenon and the perfect funny gift! The Darwin Awards shares the stories of those human beings who improve the gene pool by removing themselves from it in a sublimely idiotic fashion. Marvel at the thief who tries to steal live electrical wires. Gape at the lawnchair jockey who floats to a height of 16,000 feet suspended by helium balloons. And learn from the man who peers into a gasoline can using a cigarette lighter. All contend for Darwin Awards when their choices culminate in magnificent misadventures. These tales of trial and awe-inspiring error-verified by the author and endorsed by website readers-illustrate the ongoing saga of survival of the fittest in all its selective glory. The Darwin Awards vividly portrays the finest examples of evolution in action, and shows us just how uncommon common sense can be.",['Wendy Northcutt'],Penguin,2002,['Humor'],8.0,5.0,2000-12-12,Unbelievable But (Apparently) True,"Perhaps even Rod Serling and Stephen King could not imagine the human adventures and (yes) misadventures which are covered in this book. Several so-called &quot;urban legends&quot; are validated or invalidated. So many other situations are featured which seem unbelievable but are (apparently) true. I am a regular visitor to the website. With this book, I can now revisit (offline whenever I wish, wherever I am) situations which suggest that the human race must be saved...if only for the entertainment value of natural selection.",8,11
Interview With The Vampire SIGNED First Edition,"From #1 New York Times bestselling author Anne Rice, this sensuously written spellbinding classic remains 'the most successful vampire story since Bram Stoker's Dracula' (The Times) In a darkened room a young man sits telling the macabre and eerie story of his life - the story of a vampire, gifted with eternal life, cursed with an exquisite craving for human blood. Anne Rice's compulsively readable novel is arguably the most celebrated work of vampire fiction since Bram Stoker's Dracula was published in 1897. When Interview with the Vampire was originally published the Washington Post said it was: called Interview with the Vampire a 'thrilling, strikingly original work of the imagination . . . sometimes horrible, sometimes beautiful, always unforgettable'. Now, more than forty years since its release, Anne Rice's masterpiece is more beloved than ever.",['Anne Rice'],Hachette UK,2015,['Fiction'],163.0,5.0,2001-04-05,A classic,"This book is a classic! It sets the stage for the gothic night inhabited by Louis, Lestat, Armand and a host of others. The main character is a vampire by page 12, the rest of the book is how a moral man can cope with the price of his immortality. he is accompanied by Lestat, a rouge of a vampire, who has no moral qualms with his condition and cant understand why Louis hates his existance so. This sets the stage, embrace new found immortality or reclaim lost humanity...",0,1
Light on Yoga: Yoga Dipika,"The definitive work by B.K.S. Iyengar, the world's most respected yoga teacher.",['B. K. S. Iyengar'],HarperCollins UK,2001,['Hatha yoga'],17.0,5.0,2010-01-21,Great book,Essential book for those who are interested in detailed information about assanas and studying Iyengar yoga,0,0
What Matters Most: The Power of Living Your Values,"The author explores existential angst, dissatisfaction, and spiritual emptiness in this far-sighted guide to adjusting life's priorities and values.",['Hyrum W. Smith'],Simon and Schuster,2001,['Business & Economics'],1.0,4.0,2004-10-14,"Very ""strategic"". A good book, but not as outstanding as","the author's first book ""The 10 natural laws of time and life management"" which got a better balance of strategies and tactics.According to page 66, the primary objective of the book is to help readers close the gap between what they really value and what they are doing, which the author describe as the most excruciating kind of pain. Along such, the author ""prescribed"" : ""Burn it into memory. Wake up each morning and ask yourself, ""What am I going to do today to close the gap between what I am doing and what really matters most to me?"""" In my opinion, the author had been very successful in achieving his goal. This is a very enjoyable book under the author's very good writing skill. I might have rated it a five star if I had not read ""The 10 natural laws"" before this.Below please find some passages I love for your reference. Hope you can have a better grasp of the strengths of this book.Page 64: Why New Year Resolutions don't work? Part of the problem is that we have the cart before the horse. We think that by simply setting out a few vague goals, behavior changes will miraculously happen. Setting goals is important and necessary, but it's not the place to begin. My suggestion is that you delay writing resolutions until you have identified your governing values, those things in life that matter most to you, those things without which you would find life meaningless or unfulfilling, those things that lie at heart of who you are and who you hope to become.Pg 150: The most effective tool I have discovered in whipping the demons is to have regular victories in my life every single day. When you do something right, take a moment and savor the feeling. Even a little victory does wonders for your confidence and motivation. Make a conscious effort to successfully complete some task each day related to something that really matters to you. That'll help keep the demons at bay.Pg 151: There are many types of diseases that afflict the human body, and we spend millions and perhaps billions of dollars trying to find cures. But there is one disease of epidemic proportions in our society on which we spend little or no money or effort - the crippling disease called fear of failure.Pg 153: There is a wonderful story about a very successful entrepreneur who was asked why he was so successful. His response was ""Good decisions."" The second question was ""Well, how do you make good decisions?"" The response,: ""Experience."" And then the final question: ""How do you get experience?"" And the response:""Bad decisions.""",21,21
Naked in Death,"Eve Dallas, a New York police lieutenant, is in over her head when she breaks the rules and falls in love with a suspect in her most recent case. Reissue.",['J. D. Robb'],Penguin,1995,['Fiction'],137.0,2.0,2009-04-09,Couldn't finish it,"For the sake of variety, I needed something to read in between David Baldacci novels, and this promised mystery, suspense, action, and the like. Needless to say, it delivered none of this, but instead bore me to death for 160-some pages before I gave up, threw the book against the wall and went back to reading worthy authors.Let's go over the many problems here, starting with the main character, I think her name is Eve but honestly I don't remember. She's this by-the-book, uptight, unkempt cop who cares nothing for the standards or modern society or beauty, and yet somehow manages to be beautiful enough that EVERY male character introduced first tries to hit on her. This is so cliche and doesn't make any sense. Second, we have Roarke or whatever his name is. He's a multi-millionaire with everything he could ever want, and every women in the world wants him, yet somehow he finds Eve to be the one that he can't live without.The mystery is really just a sub-plot to a horrible romance novel, but even it isn't very good. Some guy decides it'd be fun to go off popping 6 hookers, which apparently is legal in the future, which brings me to my next point. This is supposed to be futuristic, and to compensate JD Robb invented some lame new stuff to make it seem so, like laser-guns and finger print supressing spray. However, it just so happens that our killer is an ""old schooler"" who uses guns instead of lasers, so in reality, it's not REALLY a futuristic mystery.Even so, the investigation doesn't take long to deteriorate into a bunch of faux romance and unneeded sex scenes. After the third one, literally back to back to back, followed by the cheesy dialogue ""Stopping a police officer from leaving is a crime, I could arrest you,"" and then ""You weren't wearing you badge when it happened, or anything else for what matter.""Seriously??? Skip over this book, it's garbage. 2 stars for whatever the ending might have been.",17,20
The First Circle,"The thrilling cold war masterwork by the nobel prize winner, published in full for the first time Moscow, Christmas Eve, 1949.The Soviet secret police intercept a call made to the American embassy by a Russian diplomat who promises to deliver secrets about the nascent Soviet Atomic Bomb program. On that same day, a brilliant mathematician is locked away inside a Moscow prison that houses the country's brightest minds. He and his fellow prisoners are charged with using their abilities to sleuth out the caller's identity, and they must choose whether to aid Joseph Stalin's repressive state—or refuse and accept transfer to the Siberian Gulag camps . . . and almost certain death. First written between 1955 and 1958, In the First Circle is Solzhenitsyn's fiction masterpiece. In order to pass through Soviet censors, many essential scenes—including nine full chapters—were cut or altered before it was published in a hastily translated English edition in 1968. Now with the help of the author's most trusted translator, Harry T. Willetts, here for the first time is the complete, definitive English edition of Solzhenitsyn's powerful and magnificent classic.",['Aleksandr I. Solzhenitsyn'],Harper Collins,2012,['Fiction'],1.0,4.0,2009-10-16,"The Original ""First Circle"" is the Masterpiece","This publisher's marketing machine (as in an Oct., 2009 Wall Street Journal article by the author of this book's foreward) claims ""In the First Circle"" is now ""finally available in the West"". Not exactly. The same text as ""In the First Circle"" was published in France in 2007 as ""Le Premier Cercle"".More importantly, the publishers claim that the previous English version of ""The First Circle"" was ""bowdlerized"", not ""authentic"" and by implication, polluted by Solzhenitsyn's revisions when he attempted to get the book published in the Soviet Union. This is very misleading.Solzhenitsyn prepared two versions of this novel while writing in Russia in the 1960s. The version now called ""In the First Circle"", just published in English, was 9 short chapters longer and had a different opening plot line from ""The First Circle"", which he edited to 87 chapters and unsuccessfully attempted to publish in the Soviet Union.In that editing, Solzhenitsyn, genius that he was, crafted a far more powerful opening. That's the major difference between the two versions of the novel.""In the First Circle"" (the newly published version) has a young Soviet diplomat, Innokenty Volodin, call the US Embassy in Moscow to warn about a Soviet spy operation in New York related to nuclear military secrets. As such, Innokenty is a 1 in 100 million superman hero (or traitorous villain) who cannot represent ordinary people that lack the ability or the opportunity for such an act.In ""The First Circle"" (already available in English), the same Innokenty also makes a covert call, but to a Russian scientist who as a medical doctor, had earlier treated Innokenty's mother, to warn him against sending some promised scientific samples to colleagues in France, because that act would be considered traitorous and get the scientist arrested.Even that simple warning call was enough to cause the hunting and arrest of Innokenty himself. With this simple opening story, Solzhenitsyn shows how an ordinary man who acts out of basic humanity gets entrapped by the vicious Soviet political environment. This gets us, readers, deeply engaged because we can easily identify with Innokenty's feelings and his action. And because we sympathize with an ordinary person who becomes entangled through such a normal act, it's deeply credible and far more powerful than the extreme scenario of ""In the First Circle"".Therefore, ""The First Circle"" is the true masterpiece version of this novel.This is an unforgettable story about ""conditions where only courage, strength of character, and loyalty to friends made a man and could decide the fate of a comrade."" (""The First Circle"", Ch. 61.)Take a look at ""The First Circle"", the original, and decide for yourself. Regrettably, this masterpiece is out of print in English, but copies of the great translation by Michael Guybon are available inexpensively at used book websites such as Abebooks.",6,6
Schaum's outline of theory and problems of college physics (Schaum's outline series in science),"The ideal review for your college physics course More than 40 million students have trusted Schaum’s Outlines for their expert knowledge and helpful solved problems. Written by renowned experts in their respective fields, Schaum’s Outlines cover everything from math to science, nursing to language. The main feature for all these books is the solved problems. Step-by-step, authors walk readers through coming up with solutions to exercises in their topic of choice. Outline format facilitates quick and easy review of college physics 984 solved problems Hundreds more practice problems with answers Exercises to help you test your mastery of college physics Appropriate for the following courses: College Physics, Introduction to Physics, Physics I and II, Noncalculus Physics, Advanced Placement H.S. Physics","['Frederick Bueche', 'Eugene Hecht']",McGraw Hill Professional,2011,['Science'],1.0,4.0,2012-10-18,For a rigorous physics class- helpful,"Definitely helps with basic concepts and ideas. Presents ideas in step by step form. With problems from a physics for physics majors class, the book does not start at the literal ground level for every problem. It starts with some given numbers in class you would have to find. But this is to be expected. It does allow for a clearer understanding of the underling material.",0,0
Baby Boot Camp : Surviving the First Six Weeks of Motherhood,"Having a baby is a joyous experience that changes a woman's life forever. The first six weeks with a newborn, however, can be an especially trying time, as both mother and baby adapt to this new life. Baby Boot Camp will encourage new mothers facing the realities of life with a newborn. Savor each day with this devotional guide full of wit and wisdom from Sergeant Mom.",['Rebecca Ingram Powell'],Winepress Pub,2000,['Family & Relationships'],3.0,5.0,2000-09-19,Complete Encouragement,"Baby Boot Camp had such encouraging words for me physically, mentally, and spiritually. With Rebecca's personal testimonies I felt like I was laughing and crying right along with her. She also reminded me every day of the first six weeks with my newborn baby who I should depend on to help me get through each day, Jesus Christ. I feel so blessed to have had Baby Boot Camp for the beginning of my journey into motherhood. I have also enjoyed reading back through it as my newborn turns into a toddler. Very Inspiring!",0,0
The Pilot's Wife,"Anita Shreve's hauntingly beautiful #1 bestseller and Oprah's Book Club selection about tragedy, grief, betrayal, and the 'impossibility of knowing another person.' As a pilot's wife, Kathryn has learned to expect both intense exhilaration and long periods alone, but nothing has prepared her for a late-night knock that lets her know her husband has died in a crash. Until now, Kathryn Lyons's life has been peaceful if unextraordinary: a satisfying job teaching high school in the New England mill town of her childhood; a picture-perfect home by the ocean; a precocious, independent-minded fifteen-year-old daughter; and a happy marriage whose occasional dull passages she attributes to the unavoidable deadening of time. As Kathryn struggles with her grief, she descends into a maelstrom of publicity stirred up by the modern hunger for the details of tragedy. Even before the plane is located in waters off the Irish coast, the relentless scrutiny of her husband's life begins to bring a bizarre personal mystery into focus. Could there be any truth to the increasingly disturbing rumors that he had a secret life?",['Anita Shreve'],Back Bay Books,2007,['Fiction'],68.0,4.0,1999-07-08,The best read in quite a while,"I loved this book! It is not often a novel can sustain my attention, but this one kept me guessing and enchanted. By the way Helen....how many books have you written dear?? Try not to take things so seriously. This was a wonderful piece of &quot;creative writing&quot;. Exactly what a fictional novel should be.",0,0
